line_pair,total_cascade_failures,status
"(6, 18)",8,CONTAINED
"(6, 19)",5,CONTAINED
"(6, 20)",11,CONTAINED
"(6, 21)",11,CONTAINED
"(6, 22)",11,CONTAINED
"(6, 23)",5,CONTAINED
"(6, 24)",5,CONTAINED
"(6, 25)",5,CONTAINED
"(6, 26)",5,CONTAINED
"(6, 27)",12,CONTAINED
"(6, 28)",4,CONTAINED
"(6, 29)",7,CONTAINED
"(6, 30)",5,CONTAINED
"(6, 31)",7,CONTAINED
"(6, 32)",5,CONTAINED
"(6, 33)",5,CONTAINED
"(6, 34)",4,CONTAINED
"(6, 35)",13,CONTAINED
"(6, 36)",5,CONTAINED
"(6, 37)",5,CONTAINED
"(6, 38)",5,CONTAINED
"(6, 39)",4,CONTAINED
"(6, 40)",10,CONTAINED
"(7, 8)",5,CONTAINED
"(7, 9)",4,CONTAINED
"(7, 10)",5,CONTAINED
"(7, 11)",5,CONTAINED
"(7, 12)",5,CONTAINED
"(7, 13)",5,CONTAINED
"(7, 14)",5,CONTAINED
"(7, 15)",10,CONTAINED
"(7, 16)",5,CONTAINED
"(7, 17)",5,CONTAINED
"(7, 18)",6,CONTAINED
"(7, 19)",5,CONTAINED
"(7, 20)",5,CONTAINED
"(7, 21)",11,CONTAINED
"(7, 22)",6,CONTAINED
"(7, 23)",5,CONTAINED
"(7, 24)",6,CONTAINED
"(7, 25)",5,CONTAINED
"(7, 26)",5,CONTAINED
"(7, 27)",11,CONTAINED
"(7, 28)",5,CONTAINED
"(7, 29)",7,CONTAINED
"(7, 30)",6,CONTAINED
"(7, 31)",6,CONTAINED
"(7, 32)",4,CONTAINED
"(7, 33)",5,CONTAINED
"(7, 34)",4,CONTAINED
"(7, 35)",13,CONTAINED
"(7, 36)",5,CONTAINED
"(7, 37)",5,CONTAINED
"(7, 38)",5,CONTAINED
"(7, 39)",4,CONTAINED
"(7, 40)",9,CONTAINED
"(8, 9)",4,CONTAINED
"(8, 10)",5,CONTAINED
"(8, 11)",5,CONTAINED
"(8, 12)",5,CONTAINED
"(8, 13)",5,CONTAINED
"(8, 14)",5,CONTAINED
"(8, 15)",9,CONTAINED
"(8, 16)",5,CONTAINED
"(8, 17)",5,CONTAINED
"(8, 18)",5,CONTAINED
"(8, 19)",5,CONTAINED
"(8, 20)",5,CONTAINED
"(8, 21)",5,CONTAINED
"(8, 22)",5,CONTAINED
"(8, 23)",5,CONTAINED
"(8, 24)",6,CONTAINED
"(8, 25)",5,CONTAINED
"(8, 26)",5,CONTAINED
"(8, 27)",10,CONTAINED
"(8, 28)",5,CONTAINED
"(8, 29)",7,CONTAINED
"(8, 30)",6,CONTAINED
"(8, 31)",6,CONTAINED
"(8, 32)",5,CONTAINED
"(8, 33)",5,CONTAINED
"(8, 34)",4,CONTAINED
"(8, 35)",6,CONTAINED
"(8, 36)",5,CONTAINED
"(8, 37)",5,CONTAINED
"(8, 38)",5,CONTAINED
"(8, 39)",3,CONTAINED
"(8, 40)",9,CONTAINED
"(9, 10)",4,CONTAINED
"(9, 11)",4,CONTAINED
"(9, 12)",4,CONTAINED
"(9, 13)",4,CONTAINED
"(9, 14)",4,CONTAINED
"(9, 15)",8,CONTAINED
"(9, 16)",4,CONTAINED
"(9, 17)",4,CONTAINED
"(9, 18)",4,CONTAINED
"(9, 19)",4,CONTAINED
"(9, 20)",4,CONTAINED
"(9, 21)",5,CONTAINED
"(9, 22)",4,CONTAINED
"(9, 23)",4,CONTAINED
"(9, 24)",5,CONTAINED
"(9, 25)",4,CONTAINED
"(9, 26)",4,CONTAINED
"(9, 27)",10,CONTAINED
"(9, 28)",4,CONTAINED
"(9, 29)",6,CONTAINED
"(9, 30)",5,CONTAINED
"(9, 31)",5,CONTAINED
"(9, 32)",4,CONTAINED
"(9, 33)",4,CONTAINED
"(9, 34)",3,CONTAINED
"(9, 35)",5,CONTAINED
"(9, 36)",4,CONTAINED
"(9, 37)",4,CONTAINED
"(9, 38)",4,CONTAINED
"(9, 39)",2,CONTAINED
"(9, 40)",8,CONTAINED
"(10, 11)",5,CONTAINED
"(10, 12)",5,CONTAINED
"(10, 13)",5,CONTAINED
"(10, 14)",5,CONTAINED
"(10, 15)",5,CONTAINED
"(10, 16)",5,CONTAINED
"(10, 17)",5,CONTAINED
"(10, 18)",5,CONTAINED
"(10, 19)",5,CONTAINED
"(10, 20)",5,CONTAINED
"(10, 21)",12,BLACKOUT
"(10, 22)",5,CONTAINED
"(10, 23)",5,CONTAINED
"(10, 24)",6,CONTAINED
"(10, 25)",5,CONTAINED
"(10, 26)",5,CONTAINED
"(10, 27)",14,CONTAINED
"(10, 28)",5,CONTAINED
"(10, 29)",7,CONTAINED
"(10, 30)",6,CONTAINED
"(10, 31)",6,CONTAINED
"(10, 32)",5,CONTAINED
"(10, 33)",5,CONTAINED
"(10, 34)",4,CONTAINED
"(10, 35)",5,CONTAINED
"(10, 36)",5,CONTAINED
"(10, 37)",5,CONTAINED
"(10, 38)",5,CONTAINED
"(10, 39)",3,CONTAINED
"(10, 40)",8,CONTAINED
"(11, 12)",5,CONTAINED
"(11, 13)",5,CONTAINED
"(11, 14)",5,CONTAINED
"(11, 15)",10,CONTAINED
"(11, 16)",5,CONTAINED
"(11, 17)",5,CONTAINED
"(11, 18)",5,CONTAINED
"(11, 19)",5,CONTAINED
"(11, 20)",5,CONTAINED
"(11, 21)",12,CONTAINED
"(11, 22)",5,CONTAINED
"(11, 23)",5,CONTAINED
"(11, 24)",6,CONTAINED
"(11, 25)",5,CONTAINED
"(11, 26)",5,CONTAINED
"(11, 27)",11,CONTAINED
"(11, 28)",5,CONTAINED
"(11, 29)",7,CONTAINED
"(11, 30)",6,CONTAINED
"(11, 31)",6,CONTAINED
"(11, 32)",5,CONTAINED
"(11, 33)",5,CONTAINED
"(11, 34)",4,CONTAINED
"(11, 35)",6,CONTAINED
"(11, 36)",5,CONTAINED
"(11, 37)",5,CONTAINED
"(11, 38)",5,CONTAINED
"(11, 39)",3,CONTAINED
"(11, 40)",9,CONTAINED
"(12, 13)",5,CONTAINED
"(12, 14)",5,CONTAINED
"(12, 15)",9,CONTAINED
"(12, 16)",5,CONTAINED
"(12, 17)",5,CONTAINED
"(12, 18)",5,CONTAINED
"(12, 19)",5,CONTAINED
"(12, 20)",5,CONTAINED
"(12, 21)",6,CONTAINED
"(12, 22)",5,CONTAINED
"(12, 23)",5,CONTAINED
"(12, 24)",6,CONTAINED
"(12, 25)",5,CONTAINED
"(12, 26)",5,CONTAINED
"(12, 27)",10,CONTAINED
"(12, 28)",5,CONTAINED
"(12, 29)",7,CONTAINED
"(12, 30)",6,CONTAINED
"(12, 31)",6,CONTAINED
"(12, 32)",5,CONTAINED
"(12, 33)",5,CONTAINED
"(12, 34)",4,CONTAINED
"(12, 35)",6,CONTAINED
"(12, 36)",5,CONTAINED
"(12, 37)",5,CONTAINED
"(12, 38)",5,CONTAINED
"(12, 39)",3,CONTAINED
"(12, 40)",9,CONTAINED
"(13, 14)",5,CONTAINED
"(13, 15)",5,CONTAINED
"(13, 16)",5,CONTAINED
"(13, 17)",5,CONTAINED
"(13, 18)",5,CONTAINED
"(13, 19)",5,CONTAINED
"(13, 20)",5,CONTAINED
"(13, 21)",12,BLACKOUT
"(13, 22)",5,CONTAINED
"(13, 23)",5,CONTAINED
"(13, 24)",6,CONTAINED
"(13, 25)",5,CONTAINED
"(13, 26)",5,CONTAINED
"(13, 27)",14,CONTAINED
"(13, 28)",5,CONTAINED
"(13, 29)",7,CONTAINED
"(13, 30)",6,CONTAINED
"(13, 31)",6,CONTAINED
"(13, 32)",5,CONTAINED
"(13, 33)",5,CONTAINED
"(13, 34)",4,CONTAINED
"(13, 35)",5,CONTAINED
"(13, 36)",5,CONTAINED
"(13, 37)",5,CONTAINED
"(13, 38)",5,CONTAINED
"(13, 39)",3,CONTAINED
"(13, 40)",8,CONTAINED
"(14, 15)",11,BLACKOUT
"(14, 16)",5,CONTAINED
"(14, 17)",5,CONTAINED
"(14, 18)",10,CONTAINED
"(14, 19)",5,CONTAINED
"(14, 20)",9,CONTAINED
"(14, 21)",8,CONTAINED
"(14, 22)",8,CONTAINED
"(14, 23)",5,CONTAINED
"(14, 24)",9,CONTAINED
"(14, 25)",5,CONTAINED
"(14, 26)",5,CONTAINED
"(14, 27)",10,CONTAINED
"(14, 28)",5,CONTAINED
"(14, 29)",7,CONTAINED
"(14, 30)",6,CONTAINED
"(14, 31)",6,CONTAINED
"(14, 32)",5,CONTAINED
"(14, 33)",5,CONTAINED
"(14, 34)",4,CONTAINED
"(14, 35)",6,CONTAINED
"(14, 36)",5,CONTAINED
"(14, 37)",5,CONTAINED
"(14, 38)",5,CONTAINED
"(14, 39)",3,CONTAINED
"(14, 40)",7,CONTAINED
"(15, 16)",9,CONTAINED
"(15, 17)",10,CONTAINED
"(15, 18)",8,CONTAINED
"(15, 19)",10,CONTAINED
"(15, 20)",8,CONTAINED
"(15, 21)",10,CONTAINED
"(15, 22)",10,CONTAINED
"(15, 23)",8,CONTAINED
"(15, 24)",9,CONTAINED
"(15, 25)",8,CONTAINED
"(15, 26)",7,CONTAINED
"(15, 27)",10,CONTAINED
"(15, 28)",9,CONTAINED
"(15, 29)",10,CONTAINED
"(15, 30)",8,CONTAINED
"(15, 31)",7,CONTAINED
"(15, 32)",4,CONTAINED
"(15, 33)",11,CONTAINED
"(15, 34)",4,CONTAINED
"(15, 35)",10,CONTAINED
"(15, 36)",8,CONTAINED
"(15, 37)",8,CONTAINED
"(15, 38)",9,CONTAINED
"(15, 39)",9,CONTAINED
"(15, 40)",10,CONTAINED
"(16, 17)",12,CONTAINED
"(16, 18)",5,CONTAINED
"(16, 19)",5,CONTAINED
"(16, 20)",5,CONTAINED
"(16, 21)",6,CONTAINED
"(16, 22)",5,CONTAINED
"(16, 23)",5,CONTAINED
"(16, 24)",6,CONTAINED
"(16, 25)",5,CONTAINED
"(16, 26)",5,CONTAINED
"(16, 27)",10,CONTAINED
"(16, 28)",5,CONTAINED
"(16, 29)",7,CONTAINED
"(16, 30)",6,CONTAINED
"(16, 31)",6,CONTAINED
"(16, 32)",5,CONTAINED
"(16, 33)",5,CONTAINED
"(16, 34)",4,CONTAINED
"(16, 35)",10,CONTAINED
"(16, 36)",5,CONTAINED
"(16, 37)",5,CONTAINED
"(16, 38)",5,CONTAINED
"(16, 39)",3,CONTAINED
"(16, 40)",9,CONTAINED
"(17, 18)",5,CONTAINED
"(17, 19)",5,CONTAINED
"(17, 20)",5,CONTAINED
"(17, 21)",6,CONTAINED
"(17, 22)",5,CONTAINED
"(17, 23)",10,CONTAINED
"(17, 24)",8,CONTAINED
"(17, 25)",5,CONTAINED
"(17, 26)",5,CONTAINED
"(17, 27)",10,CONTAINED
"(17, 28)",9,CONTAINED
"(17, 29)",7,CONTAINED
"(17, 30)",6,CONTAINED
"(17, 31)",6,CONTAINED
"(17, 32)",5,CONTAINED
"(17, 33)",5,CONTAINED
"(17, 34)",4,CONTAINED
"(17, 35)",10,CONTAINED
"(17, 36)",5,CONTAINED
"(17, 37)",5,CONTAINED
"(17, 38)",5,CONTAINED
"(17, 39)",3,CONTAINED
"(17, 40)",7,CONTAINED
"(18, 19)",5,CONTAINED
"(18, 20)",5,CONTAINED
"(18, 21)",10,CONTAINED
"(18, 22)",10,CONTAINED
"(18, 23)",5,CONTAINED
"(18, 24)",8,CONTAINED
"(18, 25)",5,CONTAINED
"(18, 26)",5,CONTAINED
"(18, 27)",11,CONTAINED
"(18, 28)",5,CONTAINED
"(18, 29)",7,CONTAINED
"(18, 30)",6,CONTAINED
"(18, 31)",6,CONTAINED
"(18, 32)",5,CONTAINED
"(18, 33)",12,CONTAINED
"(18, 34)",4,CONTAINED
"(18, 35)",12,CONTAINED
"(18, 36)",5,CONTAINED
"(18, 37)",5,CONTAINED
"(18, 38)",5,CONTAINED
"(18, 39)",3,CONTAINED
"(18, 40)",9,CONTAINED
"(19, 20)",5,CONTAINED
"(19, 21)",6,CONTAINED
"(19, 22)",5,CONTAINED
"(19, 23)",5,CONTAINED
"(19, 24)",6,CONTAINED
"(19, 25)",5,CONTAINED
"(19, 26)",5,CONTAINED
"(19, 27)",10,CONTAINED
"(19, 28)",5,CONTAINED
"(19, 29)",7,CONTAINED
"(19, 30)",6,CONTAINED
"(19, 31)",6,CONTAINED
"(19, 32)",5,CONTAINED
"(19, 33)",5,CONTAINED
"(19, 34)",4,CONTAINED
"(19, 35)",6,CONTAINED
"(19, 36)",5,CONTAINED
"(19, 37)",5,CONTAINED
"(19, 38)",5,CONTAINED
"(19, 39)",3,CONTAINED
"(19, 40)",9,CONTAINED
"(20, 21)",10,CONTAINED
"(20, 22)",7,CONTAINED
"(20, 23)",5,CONTAINED
"(20, 24)",6,CONTAINED
"(20, 25)",5,CONTAINED
"(20, 26)",5,CONTAINED
"(20, 27)",11,CONTAINED
"(20, 28)",5,CONTAINED
"(20, 29)",7,CONTAINED
"(20, 30)",6,CONTAINED
"(20, 31)",6,CONTAINED
"(20, 32)",5,CONTAINED
"(20, 33)",5,CONTAINED
"(20, 34)",4,CONTAINED
"(20, 35)",12,CONTAINED
"(20, 36)",5,CONTAINED
"(20, 37)",5,CONTAINED
"(20, 38)",5,CONTAINED
"(20, 39)",3,CONTAINED
"(20, 40)",8,CONTAINED
"(21, 22)",5,CONTAINED
"(21, 23)",5,CONTAINED
"(21, 24)",5,CONTAINED
"(21, 25)",5,CONTAINED
"(21, 26)",5,CONTAINED
"(21, 27)",10,CONTAINED
"(21, 28)",5,CONTAINED
"(21, 29)",7,CONTAINED
"(21, 30)",6,CONTAINED
"(21, 31)",6,CONTAINED
"(21, 32)",5,CONTAINED
"(21, 33)",5,CONTAINED
"(21, 34)",4,CONTAINED
"(21, 35)",11,CONTAINED
"(21, 36)",6,CONTAINED
"(21, 37)",6,CONTAINED
"(21, 38)",6,CONTAINED
"(21, 39)",4,CONTAINED
"(21, 40)",9,CONTAINED
"(22, 23)",5,CONTAINED
"(22, 24)",5,CONTAINED
"(22, 25)",5,CONTAINED
"(22, 26)",5,CONTAINED
"(22, 27)",10,CONTAINED
"(22, 28)",5,CONTAINED
"(22, 29)",7,CONTAINED
"(22, 30)",6,CONTAINED
"(22, 31)",6,CONTAINED
"(22, 32)",5,CONTAINED
"(22, 33)",5,CONTAINED
"(22, 34)",4,CONTAINED
"(22, 35)",11,CONTAINED
"(22, 36)",5,CONTAINED
"(22, 37)",5,CONTAINED
"(22, 38)",5,CONTAINED
"(22, 39)",3,CONTAINED
"(22, 40)",8,CONTAINED
"(23, 24)",5,CONTAINED
"(23, 25)",8,CONTAINED
"(23, 26)",5,CONTAINED
"(23, 27)",9,CONTAINED
"(23, 28)",5,CONTAINED
"(23, 29)",6,CONTAINED
"(23, 30)",6,CONTAINED
"(23, 31)",6,CONTAINED
"(23, 32)",5,CONTAINED
"(23, 33)",5,CONTAINED
"(23, 34)",4,CONTAINED
"(23, 35)",5,CONTAINED
"(23, 36)",5,CONTAINED
"(23, 37)",5,CONTAINED
"(23, 38)",5,CONTAINED
"(23, 39)",3,CONTAINED
"(23, 40)",7,CONTAINED
"(24, 25)",8,CONTAINED
"(24, 26)",6,CONTAINED
"(24, 27)",11,CONTAINED
"(24, 28)",6,CONTAINED
"(24, 29)",7,CONTAINED
"(24, 30)",7,CONTAINED
"(24, 31)",7,CONTAINED
"(24, 32)",6,CONTAINED
"(24, 33)",6,CONTAINED
"(24, 34)",5,CONTAINED
"(24, 35)",6,CONTAINED
"(24, 36)",6,CONTAINED
"(24, 37)",6,CONTAINED
"(24, 38)",6,CONTAINED
"(24, 39)",4,CONTAINED
"(24, 40)",9,CONTAINED
"(25, 26)",5,CONTAINED
"(25, 27)",10,CONTAINED
"(25, 28)",5,CONTAINED
"(25, 29)",6,CONTAINED
"(25, 30)",6,CONTAINED
"(25, 31)",6,CONTAINED
"(25, 32)",5,CONTAINED
"(25, 33)",5,CONTAINED
"(25, 34)",4,CONTAINED
"(25, 35)",5,CONTAINED
"(25, 36)",5,CONTAINED
"(25, 37)",5,CONTAINED
"(25, 38)",5,CONTAINED
"(25, 39)",3,CONTAINED
"(25, 40)",9,CONTAINED
"(26, 27)",6,CONTAINED
"(26, 28)",5,CONTAINED
"(26, 29)",6,CONTAINED
"(26, 30)",6,CONTAINED
"(26, 31)",6,CONTAINED
"(26, 32)",5,CONTAINED
"(26, 33)",5,CONTAINED
"(26, 34)",4,CONTAINED
"(26, 35)",5,CONTAINED
"(26, 36)",5,CONTAINED
"(26, 37)",5,CONTAINED
"(26, 38)",5,CONTAINED
"(26, 39)",3,CONTAINED
"(26, 40)",8,CONTAINED
"(27, 28)",10,CONTAINED
"(27, 29)",8,CONTAINED
"(27, 30)",7,CONTAINED
"(27, 31)",8,CONTAINED
"(27, 32)",9,CONTAINED
"(27, 33)",9,CONTAINED
"(27, 34)",8,CONTAINED
"(27, 35)",12,CONTAINED
"(27, 36)",11,CONTAINED
"(27, 37)",11,CONTAINED
"(27, 38)",11,CONTAINED
"(27, 39)",9,CONTAINED
"(27, 40)",8,CONTAINED
"(28, 29)",8,CONTAINED
"(28, 30)",6,CONTAINED
"(28, 31)",6,CONTAINED
"(28, 32)",4,CONTAINED
"(28, 33)",5,CONTAINED
"(28, 34)",4,CONTAINED
"(28, 35)",5,CONTAINED
"(28, 36)",5,CONTAINED
"(28, 37)",5,CONTAINED
"(28, 38)",5,CONTAINED
"(28, 39)",3,CONTAINED
"(28, 40)",9,CONTAINED
"(29, 30)",7,CONTAINED
"(29, 31)",5,CONTAINED
"(29, 32)",6,CONTAINED
"(29, 33)",7,CONTAINED
"(29, 34)",5,CONTAINED
"(29, 35)",8,CONTAINED
"(29, 36)",7,CONTAINED
"(29, 37)",7,CONTAINED
"(29, 38)",7,CONTAINED
"(29, 39)",5,CONTAINED
"(29, 40)",9,CONTAINED
"(30, 31)",6,CONTAINED
"(30, 32)",5,CONTAINED
"(30, 33)",6,CONTAINED
"(30, 34)",4,CONTAINED
"(30, 35)",7,CONTAINED
"(30, 36)",6,CONTAINED
"(30, 37)",6,CONTAINED
"(30, 38)",6,CONTAINED
"(30, 39)",3,CONTAINED
"(30, 40)",8,CONTAINED
"(31, 32)",6,CONTAINED
"(31, 33)",6,CONTAINED
"(31, 34)",5,CONTAINED
"(31, 35)",7,CONTAINED
"(31, 36)",6,CONTAINED
"(31, 37)",6,CONTAINED
"(31, 38)",6,CONTAINED
"(31, 39)",4,CONTAINED
"(31, 40)",8,CONTAINED
"(32, 33)",4,CONTAINED
"(32, 34)",4,CONTAINED
"(32, 35)",5,CONTAINED
"(32, 36)",5,CONTAINED
"(32, 37)",5,CONTAINED
"(32, 38)",5,CONTAINED
"(32, 39)",3,CONTAINED
"(32, 40)",3,CONTAINED
"(33, 34)",4,CONTAINED
"(33, 35)",8,CONTAINED
"(33, 36)",5,CONTAINED
"(33, 37)",5,CONTAINED
"(33, 38)",5,CONTAINED
"(33, 39)",3,CONTAINED
"(33, 40)",6,CONTAINED
"(34, 35)",5,CONTAINED
"(34, 36)",4,CONTAINED
"(34, 37)",4,CONTAINED
"(34, 38)",4,CONTAINED
"(34, 39)",3,CONTAINED
"(34, 40)",2,CONTAINED
"(35, 36)",6,CONTAINED
"(35, 37)",6,CONTAINED
"(35, 38)",6,CONTAINED
"(35, 39)",4,CONTAINED
"(35, 40)",4,CONTAINED
"(36, 37)",4,CONTAINED
"(36, 38)",6,CONTAINED
"(36, 39)",3,CONTAINED
"(36, 40)",9,CONTAINED
"(37, 38)",4,CONTAINED
"(37, 39)",3,CONTAINED
"(37, 40)",9,CONTAINED
"(38, 39)",3,CONTAINED
"(38, 40)",9,CONTAINED
"(39, 40)",4,CONTAINED
